Item ID,Name,Description,Image,Category,Vendor,Purchase Cost,Sale Price,Location,Stock,Minimum Inventory,¿Discontinued?,UOM
MTTO-0377,BALERO 32212,BALEROS,Items_Images/MTTO-0377.Image.153502.jpg,CAT009,e0a455a9,$684.40,,LOC0023,5,1,FALSE,PIEZAS
MTTO-0378,BALERO 6306-2Z,BALEROS,Items_Images/MTTO-0378.Image.215350.jpg,CAT009,e0a455a9,,,LOC0028,4,1,FALSE,PIEZAS
MTTO-0379,RETEN TSN 522 L,RETEN DE VITON,Items_Images/MTTO-0379.Image.193753.jpg,CAT008,32918d31,,,LOC0016,2,1,FALSE,PIEZAS
MTTO-0380,BALERO HR32909-J,BALEROS,Items_Images/MTTO-0380.Image.214921.jpg,CAT009,e0a455a9,,,LOC0028,10,1,FALSE,PIEZAS
MTTO-0381,BALERO 32004-X,BALERO PARA SINFIN,Items_Images/MTTO-0381.Image.185309.jpg,CAT009,e0a455a9,,,LOC0028,7,1,FALSE,PIEZAS
MTTO-0382,BALERO 6807-2RS,BALERO,Items_Images/MTTO-0382.Image.185443.jpg,CAT009,e0a455a9,,,LOC0028,12,1,FALSE,PIEZAS
MTTO-0383,BALERO 6211-2Z,BALEROS,Items_Images/MTTO-0383.Image.162135.jpg,CAT009,e0a455a9,,,LOC0028,9,1,FALSE,PIEZAS
MTTO-0384,VALVULA DE ASIENTO INCLINADO DN25-NC-304,VALVULA DE ASIENTO INCLINADO,Items_Images/MTTO-0384.Image.194852.jpg,CAT003,,,,LOC0009,14,1,FALSE,PIEZAS
MTTO-0385,"VALVULA SOLENOIDE 24VDC, BB41-0340C-DC24V, CKD",VALVULA SOLENOIDE,Items_Images/MTTO-0385.Image.183044.jpg,CAT005,,,,LOC0027,6,1,FALSE,PIEZAS
MTTO-0386,BALERO 6303-C3,BALEROS PARA POLIPASTO,Items_Images/MTTO-0386.Image.135527.jpg,CAT009,e0a455a9,,,LOC0022,8,1,FALSE,PIEZAS
MTTO-0387,"SENSOR NIVEL DE AGUA, TIPO FLOTADOR DC0-110V, MONTAJE LATERAL DE 1/2"" NPT.",FLOTADOR PARA LAS TINAS DE SILICON,Items_Images/MTTO-0387.Image.191750.jpg,84388e9b,1ce673ed,,,,0,1,FALSE,PIEZAS
MTTO-0388,BALERO 6309-2Z,BALEROS,Items_Images/MTTO-0388.Image.215454.jpg,CAT009,e0a455a9,,,LOC0028,4,1,FALSE,PIEZAS
MTTO-0389,BALERO 6012-2Z,BALEROS,Items_Images/MTTO-0389.Image.215621.jpg,CAT009,e0a455a9,,,LOC0028,8,1,FALSE,PIEZAS
MTTO-0390,ESCANER RECEPTOR (MEMBRANA),,,,,,,,0,1,FALSE,PIEZAS
MTTO-0391,BALERO 6213-2Z,BALEROS PARA POLIPASTO,Items_Images/MTTO-0391.Image.185905.jpg,CAT009,e0a455a9,,,LOC0028,2,1,FALSE,PIEZAS
MTTO-0392,RETEN 5580-13 VITON,RETEN DE VITON,Items_Images/MTTO-0392.Image.165305.jpg,CAT008,32918d31,,,LOC0015,1,1,FALSE,PIEZAS
MTTO-0393,BALERO 6312-2Z,BALEROS,Items_Images/MTTO-0393.Image.215746.jpg,CAT009,e0a455a9,,,LOC0028,6,1,FALSE,PIEZAS
MTTO-0394,BALERO 6311-2Z,BALEROS PARA TORRES DE ENFRIAMIENTO,Items_Images/MTTO-0394.Image.185628.jpg,CAT009,e0a455a9,,,LOC0028,3,1,FALSE,PIEZAS
MTTO-0395,RETEN 75100-10 VITON,RETEN DE VITON,Items_Images/MTTO-0395.Image.165437.jpg,CAT008,32918d31,,,LOC0015,9,1,FALSE,PIEZAS
MTTO-0396,BALERO HM-212011,BALEROS PARA REVOLVEDORA 3,Items_Images/MTTO-0396.Image.215948.jpg,CAT009,e0a455a9,,,LOC0028,3,1,FALSE,PIEZAS
MTTO-0397,BALERO HM-212049,BALEROS PARA REVOLVEDORA 3,Items_Images/MTTO-0397.Image.220059.jpg,CAT009,e0a455a9,,,LOC0028,3,1,FALSE,PIEZAS
MTTO-0398,BALERO 644,BALERO PARA REVOLVEDORA 1,Items_Images/MTTO-0398.Image.194417.jpg,CAT009,e0a455a9,"$2,772.40",,LOC0028,3,1,FALSE,PIEZAS
MTTO-0399,BALERO 632-B,PORTABALERO PARA REVOLVEDORA 1,Items_Images/MTTO-0399.Image.194615.jpg,CAT009,e0a455a9,"$4,396.40",,LOC0028,3,1,FALSE,PIEZAS
MTTO-0400,BALERO T7FC075-XL,BALERO PARA REVOLVEDORA 4,Items_Images/MTTO-0400.Image.194831.jpg,CAT009,e0a455a9,"$6,136.40",,LOC0028,2,1,FALSE,PIEZAS
MTTO-0401,CHUMACERA DE CORREDERA TU-25-TF,CHUMACERA MOLINO DE REFIL,Items_Images/MTTO-0401.Image.195323.jpg,CAT003,e0a455a9,,,LOC0029,6,1,FALSE,PIEZAS
MTTO-0402,BANDAS B-95,BANDAS B-95,Items_Images/MTTO-0402.Image.211324.jpg,CAT003,e0a455a9,,,LOC0020,15,1,FALSE,PIEZAS
MTTO-0403,"RONDANA DE PRESION, 14MM GALVANIZADA",RONDANA USO GENARAL,Items_Images/MTTO-0403.Image.214001.png,CAT010,fc5645e9,,,LOC0062,152,1,FALSE,PIEZAS
MTTO-0404,CHUMACERA DE PARED CIRCULAR UCFC 213,CHUMACERA DE PARED,Items_Images/MTTO-0404.Image.135814.jpg,CAT003,e0a455a9,,,LOC0022,2,1,FALSE,PIEZAS
MTTO-0405,CHUMACERA DE CORREDERA TU-35-TF,CHUMACERA PARA RODILLOS SILICON,Items_Images/MTTO-0405.Image.203625.jpg,CAT003,e0a455a9,,"$1,065.00",LOC0029,7,1,FALSE,PIEZAS
MTTO-0406,DETECTOR DE METALES (DANADO),DETECTOR DE METALES NO FUNCIONAL,Items_Images/MTTO-0406.Image.170605.jpg,db498a61,ab7dd31c,,,8eede3f6,1,1,FALSE,PIEZAS
MTTO-0407,RETEN 4462-10 VITON,RETEN DE VITON,Items_Images/MTTO-0407.Image.165641.jpg,CAT008,32918d31,,,LOC0015,3,1,FALSE,PIEZAS
MTTO-0408,CONECTOR RAPIDO NEUMATICO EN TEE DE 12MM,CONECTOR RAPIDO NEUMATICO,Items_Images/MTTO-0408.Image.133948.png,CAT004,2c6c8db2,,,LOC0083,12,1,FALSE,PIEZAS
MTTO-0409,"CHUMACERA DE PARED CIRCULAR UCFC 209, 45MM",CHUMACERA PARA REVOLVEDORA CHICA,Items_Images/MTTO-0409.Image.140549.jpg,CAT003,e0a455a9,$406.00,,LOC0022,3,1,FALSE,PIEZAS
MTTO-0410,CHUMACERA DE PARED CIRCULAR PME35-XL-N,CHUMACERA PARA RODILLOS DE SILICON GRANDES INFERIORES,Items_Images/MTTO-0410.Image.140642.jpg,CAT003,e0a455a9,,,LOC0022,3,1,FALSE,PIEZAS
MTTO-0411,BALERO 22316-E1,BALEROS PARA MOLINO CHICO,Items_Images/MTTO-0411.Image.154912.jpg,CAT009,e0a455a9,,,LOC0023,3,1,FALSE,PIEZAS
MTTO-0412,BALERO NU208E-M1-C3,BALERO PARA TRANSMISION PRINCIPAL,Items_Images/MTTO-0412.Image.151009.jpg,CAT009,e0a455a9,"$1,252.80",,LOC0023,1,1,FALSE,PIEZAS
MTTO-0413,"RONDANA PLANA, M35 X 47MM GALVANIZADA",RONDANA USO GENARAL,Items_Images/MTTO-0413.Image.201809.png,CAT010,fc5645e9,,,LOC0062,128,2,FALSE,PIEZAS
MTTO-0414,JUEGO CONECTOR INDUSTRIAL 5 PINES TAPA COLGANTE BASE ATORNILLAR,CONECTORES PARA LOS PIGMENTADORES HEMBRA Y MACHO,Items_Images/MTTO-0414.Image.142617.png,CAT006,a5e797e4,$676.90,,LOC0094,5,1,FALSE,KITS
MTTO-0415,BALERO 6322 M/C3 INSOCOAT,BALERO PARA MOTOR PRINCIPAL,Items_Images/MTTO-0415.Image.214117.jpg,CAT009,e0a455a9,"$41,133.60",,LOC0021,2,1,FALSE,PIEZAS
MTTO-0416,BALERO 81113-TV,BALEROS PARA TRANSMISION PRINCIPAL,Items_Images/MTTO-0416.Image.152928.jpg,CAT009,e0a455a9,,,LOC0023,3,1,FALSE,PIEZAS
MTTO-0417,BALERO 22319-E1A-M-C3,BALERO PARA TRANSMISION PRINCIPAL,Items_Images/MTTO-0417.Image.160233.jpg,CAT009,e0a455a9,,,LOC0022,2,1,FALSE,PIEZAS
MTTO-0418,BALERO NJ2319-E-XL-M1-C3,BALEROS PARA TRANSMISION PRINCIPAL,Items_Images/MTTO-0418.Image.203747.jpg,CAT009,e0a455a9,,,LOC0029,2,1,FALSE,PIEZAS
MTTO-0419,RETEN 5585-10 VITON,RETEN DE VITON,Items_Images/MTTO-0419.Image.165847.jpg,CAT008,32918d31,,,LOC0015,12,1,FALSE,PIEZAS
MTTO-0420,"CABLE MULTICONDUCTOR 3 HILOS, CALIBRE 18AWG",CABLE MULTICODUCTOR,Items_Images/MTTO-0420.Image.213734.png,CAT006,,,,LOC0069,0,1,FALSE,METROS
MTTO-0421,"ELECTRODO 6013 1/8""",SOLDADURA 6013,Items_Images/MTTO-0421.Image.214407.jpg,CAT002,PROV001,,,b99687bf,78,1,FALSE,PIEZAS
MTTO-0422,SELLO DE PISTON HIDRÁULICO 45*55*5 KIT,SE USA EN LOS PISTONES DEL CAMBIAMALLAS,Items_Images/MTTO-0422.Image.212414.jpg,CAT008,d8419d6c,,,LOC0042,10,1,FALSE,KITS
MTTO-0423,CLEMA CERAMICA 2 POLOS CALIBRE 6,CLEMA CERMICA,Items_Images/MTTO-0423.Image.212527.png,CAT006,,,,LOC0118,3,1,FALSE,PIEZAS
MTTO-0424,VARIADOR DE FRECUENCIA ABB ACS580 (DANADO),,,,,,,,0,1,FALSE,PIEZAS
MTTO-0425,"CHUMACERA DE PARED ME 12, GE60-KRR-B",CHUMACERA,Items_Images/MTTO-0425.Image.211021.jpg,CAT003,e0a455a9,,,LOC0029,0,1,FALSE,PIEZAS
MTTO-0426,BALERO 29418-EM-DC-50,BALERO,Items_Images/MTTO-0426.Image.153732.jpg,CAT009,e0a455a9,"$9,651.20",,LOC0023,1,1,FALSE,PIEZAS
MTTO-0427,BALERO NU322-E-XL-M1-C3,BALEROS,Items_Images/MTTO-0427.Image.151947.jpg,CAT009,e0a455a9,,,LOC0023,4,1,FALSE,PIEZAS
MTTO-0428,BALERO 89415-M,BALERO,Items_Images/MTTO-0428.Image.204115.jpg,CAT009,e0a455a9,,,LOC0029,2,1,FALSE,PIEZAS
MTTO-0429,BALERO NU2220-E-XL-M1-C3,BALERO,Items_Images/MTTO-0429.Image.151735.jpg,CAT009,e0a455a9,,,LOC0022,6,1,FALSE,PIEZAS
MTTO-0430,BALERO NJ2220-E-XL-M1,BALEROS PARA TRANSMISION PRINCIPAL,Items_Images/MTTO-0430.Image.152246.jpg,CAT009,e0a455a9,,,LOC0023,5,1,FALSE,PIEZAS
MTTO-0431,GUIA LINEAL SBI-20SL-K1,GUIAS LINEALES,Items_Images/MTTO-0431.Image.202829.jpg,CAT002,,,,LOC0017,19,1,FALSE,PIEZAS
MTTO-0432,BALERO 22222-EK-C3,BALERO PARA RODILLOS CROMADOS,Items_Images/MTTO-0432.Image.141317.jpg,CAT009,e0a455a9,"$9,999.20",,LOC0022,2,1,FALSE,PIEZAS
MTTO-0433,"CINTA ANTIDERRAPANTE 2"" TRUPER",CINTA ANTIDERRAPANTE,Items_Images/MTTO-0433.Image.193334.jpg,CAT002,PROV001,,,LOC0093,1,1,FALSE,PIEZAS
MTTO-0434,CINTA DELIMITADORA DE PELIGRO ROJA,CINTA DELIMITADORA,Items_Images/MTTO-0434.Image.185716.jpg,CAT002,PROV001,,,92bd79f5,0,1,FALSE,PIEZAS
MTTO-0435,CINTA VULCANIZABLE SCOTCH 23,CINTA AISLANTE DE HULE,Items_Images/MTTO-0435.Image.145236.png,CAT002,PROV001,,,218b4280,5,1,FALSE,PIEZAS
MTTO-0436,"TERMORETRACTIL 1/16""",,,,,,,,0,1,FALSE,PIEZAS
MTTO-0437,ESPAGUETI ASILANTE FIBRA DE VIDRIO,,Items_Images/MTTO-0437.Image.230324.png,CAT002,,,,,0,1,FALSE,PIEZAS
MTTO-0438,RESISTENCIA DE BRAZALETE 440V / 120W,RESISTENCIA CALEFACTORA,Items_Images/MTTO-0438.Image.154421.jpg,CAT003,a5e797e4,,,LOC0039,3,1,FALSE,PIEZAS
MTTO-0439,"MICRO SWITCH DE CABLE DE EMERGENCIA STAMPLAST, SBM1K9900X11",INTERRUPTOR FINAL,Items_Images/MTTO-0439.Image.155833.png,CAT003,1ce673ed,,,LOC0065,0,1,FALSE,PIEZAS
MTTO-0440,FUENTES PARA LAMPARAS 44W,FUENTE PATRA LAMPARA LED,Items_Images/MTTO-0440.Image.234957.png,CAT006,,,,LOC0056,5,1,FALSE,PIEZAS
MTTO-0441,CINTA AISLANTE NEGRA,CINTA AISLANTE,Items_Images/MTTO-0441.Image.193841.jpg,CAT002,PROV001,,,218b4280,1,1,FALSE,PIEZAS
MTTO-0442,LAMPARA PANEL LED TECNOLED 36W IP20 85-277V,PANEL LED,Items_Images/MTTO-0442.Image.002244.png,CAT006,,,,LOC0108,1,1,FALSE,PIEZAS
MTTO-0443,AFLOJATODO WD-40 11 OZ,PRODUCTO MULTIUSOS,Items_Images/MTTO-0443.Image.192900.jpg,CAT002,PROV001,,,LOC0117,1,1,FALSE,PIEZAS
MTTO-0444,GIS DE REPUESTO PARA TIRALINEAS,REPUESTO PARA TIRALINEAS,Items_Images/MTTO-0444.Image.221623.jpg,CAT002,,,,LOC0077,1,1,FALSE,PIEZAS
MTTO-0445,PULIMENTO AZUL #3 GRANO MEDIO,PULIMENTO AZUL,Items_Images/MTTO-0445.Image.165026.jpg,CAT002,,,,26813a72,4,1,FALSE,PIEZAS
MTTO-0446,"BROCHA SEMI PROFESIONAL 2 1/2""",BROCHA 2 1/2”,Items_Images/MTTO-0446.Image.161133.jpg,CAT002,PROV001,,,LOC0004,4,1,FALSE,PIEZAS
MTTO-0447,"RONDANA PLANA, M8 X 15MM GALVANIZADA",RONDANA USO GENARAL,Items_Images/MTTO-0447.Image.141747.png,CAT010,fc5645e9,,,LOC0062,106,2,FALSE,PIEZAS
MTTO-0448,"BRIDA FLEXIBLE 4"" PB-200",BRIDA FLEXIBLE PARA SANITARIOS 4”,Items_Images/MTTO-0448.Image.150131.jpg,CAT007,,,,LOC0011,3,1,FALSE,PIEZAS
MTTO-0449,CUELLO DE CERA CON GUIA,CUELLO DE CERA CON GUIA,Items_Images/MTTO-0449.Image.150314.jpg,CAT007,,,,LOC0011,2,2,FALSE,PIEZAS
MTTO-0450,"VALVULA PARA FLOTADOR 3/4""",VALVULA PARA FLOTADOR,Items_Images/MTTO-0450.Image.151142.jpg,CAT007,,,,LOC0009,2,1,FALSE,PIEZAS
MTTO-0451,COLGADOR DE ALUMINIO VERDE 9110G,UN SOPORTE RESISTENTE PARA EQUIPO DE LIMPIEZA,Items_Images/MTTO-0451.Image.143032.png,CAT002,,,,LOC0072,2,1,FALSE,PIEZAS
MTTO-0452,PLASTIC STEEL PUTTY (A) 10110 PLASTIACERO,PLASTIACERO,Items_Images/MTTO-0452.Image.192956.png,CAT002,1ce673ed,,,LOC0011,0,1,FALSE,PIEZAS
MTTO-0453,CAIMAN-P,HERRAMIENTA USO GENERAL,Items_Images/MTTO-0453.Image.152916.jpg,CAT001,PROV001,,,LOC0004,3,1,FALSE,PIEZAS
MTTO-0454,"CONECTOR RAPIDO NEUMATICO RECTO MACHO 1/2"" NPT A MANGUERA 12MM",CONECTOR RAPIDO NEUMATICO,Items_Images/MTTO-0454.Image.190234.jpg,CAT004,2c6c8db2,,,LOC0083,6,1,FALSE,PIEZAS
MTTO-0455,PISTOLA DE GRAVEDAD 2MM TRUPER,PISTOLA DE GRAVEDAD PARA PINTAR,Items_Images/MTTO-0455.Image.212111.jpg,CAT001,PROV001,,,LOC0010,1,1,FALSE,PIEZAS
MTTO-0456,CERRDURA DE MANIJA,CERRADURA DE MANIJA,Items_Images/MTTO-0456.Image.212554.jpg,CAT003,,,,LOC0010,1,1,FALSE,PIEZAS
MTTO-0457,"ELECTRODO AWIL E-308L-16 ACERO INOXIDABLE DE 1/8""",SOLDADURA E-308L,Items_Images/MTTO-0457.Image.174327.png,CAT002,PROV001,,,b99687bf,59,1,FALSE,PIEZAS
MTTO-0458,"ELECTRODO AW E-NIFECL HIERRO VACIADO DE 1/8""",SOLDADURA,Items_Images/MTTO-0458.Image.205337.png,CAT002,PROV001,,,b99687bf,22,1,FALSE,PIEZAS
MTTO-0459,TIRALINEAS TL-50,TIRALINEAS,Items_Images/MTTO-0459.Image.154712.jpg,CAT001,PROV001,,,LOC0077,2,1,FALSE,PIEZAS
MTTO-0460,BOTONERA COLGANTE DE CONTROL DE FILA UNICA CON 8 BOTONES,BOTONERA,Items_Images/MTTO-0460.Image.201630.jpg,CAT006,,,,15a6e401,1,1,FALSE,PIEZAS
MTTO-0461,CHUMACERA DE PARED DODGE 23103 F4B-E-200R TYPE E-XTRA,CHUMACERA,Items_Images/MTTO-0461.Image.204232.jpg,CAT003,e0a455a9,,,LOC0029,3,1,FALSE,PIEZAS
MTTO-0462,CHUMACERA DE CORREDERA FYT 1.1/4 TF,CHUMACERA,Items_Images/MTTO-0462.Image.204603.jpg,CAT003,e0a455a9,,,LOC0029,3,1,FALSE,PIEZAS
MTTO-0463,"VALVULA MANUAL ROTATIVA NEUMATICA OPPFU, HV200-08D, 0.1-0.8MPA, 4VIAS, 3 POSICIONES",VALVULA MANUAL 3 POSICIONES,Items_Images/MTTO-0463.Image.163228.png,CAT005,,,,LOC0082,1,1,FALSE,PIEZAS
MTTO-0464,"VALVULA DE BOLA 2"" PN125",VALVULA DE ESFERA 2”,Items_Images/MTTO-0464.Image.234653.jpg,CAT007,,,,LOC0010,0,1,FALSE,PIEZAS
MTTO-0465,FLUXOMETRO DE PALANCA PARA INODORO 4402,FLEXOMETRO PARA INODOROS,Items_Images/MTTO-0465.Image.150843.jpg,CAT007,,,,LOC0011,1,1,FALSE,PIEZAS
MTTO-0466,"MEZCLADORA DE 8"" PARA FREGADERO 4333",LLAVE DE FREGADERO,Items_Images/MTTO-0466.Image.145753.png,CAT003,,,,LOC0036,0,1,FALSE,PIEZAS
MTTO-0467,"INTERRUPTOR TERMOMAGNETICO 630A, 3 FASES, LV563505",INTERRUPTOR TERMOMAGNETICO,Items_Images/MTTO-0467.Image.195832.jpg,CAT006,1ce673ed,,,LOC0063,1,1,FALSE,PIEZAS
MTTO-0468,VACIO 08,,,,,,,,0,1,FALSE,PIEZAS
MTTO-0469,RETEN 125150-12 VITON,RETEN DE VITON,Items_Images/MTTO-0469.Image.193907.jpg,CAT008,32918d31,,,LOC0016,5,1,FALSE,PIEZAS
MTTO-0470,RETEN H754PU,RETEN DE VITON,Items_Images/MTTO-0470.Image.170051.jpg,CAT008,32918d31,,,LOC0015,5,1,FALSE,PIEZAS
MTTO-0471,RETEN 150180-15 VITON,RETEN DE VITON,Items_Images/MTTO-0471.Image.191732.jpg,CAT008,32918d31,,,LOC0016,4,1,FALSE,PIEZAS
MTTO-0472,RETEN 95120-12 VITON,RETEN DE VITON,Items_Images/MTTO-0472.Image.191823.jpg,CAT008,32918d31,,,LOC0016,6,1,FALSE,PIEZAS
MTTO-0473,RETEN 6080-10 VITON,RETEN DE VITON,Items_Images/MTTO-0473.Image.170231.jpg,CAT008,32918d31,,,LOC0015,6,1,FALSE,PIEZAS
MTTO-0474,RETEN 80100-10 VITON,RETEN DE VITON,Items_Images/MTTO-0474.Image.192057.jpg,CAT008,32918d31,,,LOC0016,5,1,FALSE,PIEZAS
MTTO-0475,RETEN 70100-10 VITON,RETEN DE VITON,Items_Images/MTTO-0475.Image.192223.jpg,CAT008,32918d31,,,LOC0016,5,1,FALSE,PIEZAS
MTTO-0476,RETEN 7090-10 VITON,RETEN DE VITON,Items_Images/MTTO-0476.Image.170431.jpg,CAT008,32918d31,,,LOC0015,12,1,FALSE,PIEZAS
MTTO-0477,RETEN 90110-12 VITON,RETEN DE VITON,Items_Images/MTTO-0477.Image.192618.jpg,CAT008,32918d31,,,LOC0016,8,1,FALSE,PIEZAS
MTTO-0478,"RELEVADOR ESTADO SOLIDO 40AMP 1POLO, 3-32VDC.",RELEVADOR ESTADO SOLIDO 40AMP,Items_Images/MTTO-0478.Image.200455.jpg,CAT006,1ce673ed,,,LOC0058,1,1,FALSE,PIEZAS
MTTO-0479,"TORRETA DE SENAL LUMINICA, AMBAR, ROJO, VERDE, MENICS, 220VAC, MT5C3CL-RYG",TORRETA ILUMINADORA,Items_Images/MTTO-0479.Image.162051.png,CAT006,,,,LOC0056,1,1,FALSE,PIEZAS
MTTO-0480,BOYA PARA CISTERNA COBRE,BOYA,Items_Images/MTTO-0480.Image.183432.png,CAT003,,,,,0,1,FALSE,PIEZAS
MTTO-0481,RETEN 90115-12 VITON,RETEN DE VITON,Items_Images/MTTO-0481.Image.192746.jpg,CAT008,32918d31,,,LOC0016,6,1,FALSE,PIEZAS
MTTO-0482,RETEN 6590-10 VITON,RETEN DE VITON,Items_Images/MTTO-0482.Image.192850.jpg,CAT008,32918d31,,,LOC0016,5,1,FALSE,PIEZAS
MTTO-0483,RETEN 6590-8 VITON,RETEN DE VITON,Items_Images/MTTO-0483.Image.181302.jpg,CAT008,32918d31,,,LOC0015,1,1,FALSE,PIEZAS
MTTO-0484,RETEN 5572-8 VITON,RETEN DE VITON,Items_Images/MTTO-0484.Image.181445.jpg,CAT008,32918d31,,,LOC0015,8,1,FALSE,PIEZAS
MTTO-0485,RETEN 4572-8 VITON,RETEN DE VITON,Items_Images/MTTO-0485.Image.181641.jpg,CAT008,32918d31,,,LOC0015,19,1,FALSE,PIEZAS
MTTO-0486,RETEN 5580-10 VITON,RETEN DE VITON,Items_Images/MTTO-0486.Image.181858.jpg,CAT008,32918d31,,,LOC0015,8,1,FALSE,PIEZAS
MTTO-0487,RETEN 6075-8 VITON,RETEN DE VITON,Items_Images/MTTO-0487.Image.185002.jpg,CAT008,32918d31,,,LOC0015,37,1,FALSE,PIEZAS
MTTO-0488,RETEN 6085-8 VITON,RETEN DE VITON,Items_Images/MTTO-0488.Image.185055.jpg,CAT008,32918d31,,,LOC0015,4,1,FALSE,PIEZAS
MTTO-0489,FUSIBLES CERAMICOS 14X51 25 AMP,FUSIBLES USO GENERAL,Items_Images/MTTO-0489.Image.152623.png,CAT006,1ce673ed,$32.48,,LOC0118,3,1,FALSE,PIEZAS
MTTO-0490,FUSIBLES CERAMICOS 14X51 50 AMP,FUSIBLES USO GENERAL,Items_Images/MTTO-0490.Image.152336.png,CAT006,1ce673ed,,,LOC0118,25,1,FALSE,PIEZAS
MTTO-0491,"TORNILLO ALLEN CILINDRICO M8 X 80MM, PASO 1.25, PAVONADO",TORNILLERIA USO GENERAL,Items_Images/MTTO-0491.Image.184928.png,CAT010,fc5645e9,,,LOC0046,24,1,FALSE,PIEZAS
MTTO-0492,TUERCA AJUSTABLE M20 IMPERMEABLES IP68,TUERCA HEXAGONAL,Items_Images/MTTO-0492.Image.145326.png,CAT010,fc5645e9,,,LOC0055,5,1,FALSE,PIEZAS
MTTO-0493,RETEN 6085-10 VITON,RETEN DE VITON,Items_Images/MTTO-0493.Image.185142.jpg,CAT008,32918d31,,,LOC0015,6,1,FALSE,PIEZAS
MTTO-0494,RETEN 4060-8 VITON,RETEN DE VITON,Items_Images/MTTO-0494.Image.185338.jpg,CAT008,e0a455a9,,,LOC0015,2,1,FALSE,PIEZAS
MTTO-0495,BANDAS B-56,BANDAS B-56,Items_Images/MTTO-0495.Image.155557.jpg,CAT002,e0a455a9,,,LOC0026,13,1,FALSE,PIEZAS
MTTO-0496,CORDON VITON 8MM CIRCULAR,CORDON VITON USO GENERAL,Items_Images/MTTO-0496.Image.193710.png,CAT002,32918d31,,,b563a079,17,1,FALSE,METROS
MTTO-0497,"VALVULA DE BOLA LATON 1/2 """,VALVULA DE BOLA 1/2”,Items_Images/MTTO-0497.Image.213631.jpg,CAT007,,,,LOC0010,5,1,FALSE,PIEZAS
MTTO-0498,"CONECTOR RAPIDO NEUMATICO RECTO HEMBRA 1/4"" NPT A MANGUERA 8MM",CONECTOR RAPIDO NEUMATICO,Items_Images/MTTO-0498.Image.185516.png,CAT004,2c6c8db2,,,LOC0083,8,1,FALSE,PIEZAS
MTTO-0499,ALAMBRE RECOCIDO CALIBRE 14,ALAMBRE 14,Items_Images/MTTO-0499.Image.154634.png,CAT002,PROV001,,,LOC0001,3,1,FALSE,KILOGRAMOS
MTTO-0500,BAYONETA PARA TERMOPAR NIQUELADA 2 RANURAS DE 12MM,BAYONETA PARA EMBUTIDO,Items_Images/MTTO-0500.Image.165531.png,CAT003,,,,LOC0046,12,1,FALSE,PIEZAS
MTTO-0501,"FUENTE 24 VDC DE 2.5AMP, MDR-60-24",FUENTE DE ALIMENTACION,Items_Images/MTTO-0501.Image.192859.png,CAT006,1ce673ed,,,LOC0077,1,1,FALSE,PIEZAS
MTTO-0502,"COPLE GALVANIZADO 1 1/4 """,USO PARA DUCTOS Y TUBERIAS,Items_Images/MTTO-0502.Image.192550.jpg,CAT002,,,,e3c7b211,6,1,FALSE,PIEZAS
MTTO-0503,"TUERCA UNION GALVANIZADA DE 1 ¼""",TUERCA UNION GALVANIZADA,Items_Images/MTTO-0503.Image.185911.jpg,CAT007,PROV001,,,e3c7b211,10,1,FALSE,PIEZAS
MTTO-0504,"NIPLE GALVANIZADO DE 1 1/4"" CUERDA CORRIDA",NIPLE GALVANIZADO,Items_Images/MTTO-0504.Image.185047.jpg,CAT003,PROV001,,,e3c7b211,2,1,FALSE,PIEZAS
MTTO-0505,SERVO DRIVE IS620PT021-INT 3KW,SERVO DRIVE 3KW,Items_Images/MTTO-0505.Image.154108.jpg,CAT006,,,,LOC0024,2,1,FALSE,PIEZAS
MTTO-0506,CARBONES TCAR-48,CARBONES PARA MOLINO TRITURADOR DE SEMILLAS DE CALIDAD,Items_Images/MTTO-0506.Image.145736.png,CAT002,PROV001,,,LOC0094,4,1,FALSE,PIEZAS
MTTO-0507,BOYA DE REFRIGERANTE R410A 11 KGS,BOYA,Items_Images/MTTO-0507.Image.162407.png,CAT002,,,,LOC0094,1,1,FALSE,PIEZAS
MTTO-0508,CHUPON PARA INFLAR FLECHAS EMBOBINADORES,CHUPON PARA INFLAR,Items_Images/MTTO-0508.Image.213809.png,CAT003,,,,LOC0083,24,1,FALSE,PIEZAS
MTTO-0509,JUEGO DE BROCAS DE COBALTO DE 20PZS,BROCA DE COVALTO,Items_Images/MTTO-0509.Image.215351.png,CAT001,PROV001,,,LOC0117,1,1,FALSE,PIEZAS
MTTO-0510,BANDAS B-66,BANDAS B-66,Items_Images/MTTO-0510.Image.153258.jpg,CAT003,e0a455a9,$81.20,,LOC0014,7,1,FALSE,PIEZAS
MTTO-0511,RETEN 5062-7 VITON,RETEN DE VITON,Items_Images/MTTO-0511.Image.185543.jpg,CAT008,32918d31,,,LOC0015,11,1,FALSE,PIEZAS
MTTO-0512,BALERO SL185015-A,BALERO,Items_Images/MTTO-0512.Image.161039.jpg,CAT009,e0a455a9,,,2d7d9e04,2,1,FALSE,PIEZAS
MTTO-0513,RETEN 110140-12 VITON,RETEN DE VITON,Items_Images/MTTO-0513.Image.193036.jpg,CAT008,32918d31,,,LOC0016,10,1,FALSE,PIEZAS
MTTO-0514,BALERO 22314-E1A-XL-M-C3,BALERO,Items_Images/MTTO-0514.Image.161744.jpg,CAT009,e0a455a9,,,2d7d9e04,2,1,FALSE,PIEZAS
